request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0.0,affordable_with_plan,installments,2025-09-02:0.00,2025-08-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $24768300.00.
request_27,0.0,affordable_with_plan,installments,2026-08-04:0.00,2026-07-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $20500.00.
request_28,0.0,affordable_with_plan,installments,2024-07-07:0.00,2024-06-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1100.00.
request_29,0.0,not_affordable,full_payment,2025-11-04:51524.00,2025-11-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $28300.00.
request_30,0.0,affordable_with_plan,installments,2026-05-06:0.00,2026-04-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $900.00.
request_31,0.0,affordable_with_plan,installments,2024-10-03:0.00,2024-09-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $16588900.00.
request_32,0.0,affordable_with_plan,installments,2025-03-07:0.00,2025-02-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $35700.00.
request_33,0.0,affordable_with_plan,installments,2026-02-06:0.00,2026-01-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $102100.00.
request_34,0.0,affordable_with_plan,installments,2025-01-03:0.00,2024-12-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $138500.00.
request_35,0.0,affordable_with_plan,installments,2025-11-29:0.00,2025-10-30,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $106400.00.
request_36,0.0,affordable_with_plan,installments,2026-08-02:0.00,2026-07-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $2400.00.
request_37,0.0,affordable_with_plan,installments,2024-04-04:0.00,2024-03-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $17056200.00.
request_38,0.0,affordable_with_plan,installments,2025-09-06:0.00,2025-08-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $400.00.
request_39,0.0,affordable_with_plan,installments,2026-05-04:0.00,2026-04-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $213400.00.
request_40,0.0,affordable_with_plan,installments,2024-07-06:0.00,2024-06-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $1500.00.
request_41,0.0,affordable_with_plan,installments,2025-12-03:0.00,2025-11-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $25366600.00.
request_42,0.0,affordable_with_plan,installments,2026-02-04:0.00,2026-01-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $113100.00.
request_43,0.0,affordable_with_plan,installments,2024-10-07:0.00,2024-09-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $21398000.00.
request_44,0.0,affordable_with_plan,installments,2025-03-06:0.00,2025-02-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $82900.00.
request_45,0.0,affordable_with_plan,installments,2026-08-05:0.00,2026-07-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $11149800.00.
request_46,0.0,affordable_with_plan,installments,2025-01-02:0.00,2024-12-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $84000.00.
request_47,0.0,affordable_with_plan,installments,2025-06-04:0.00,2025-05-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $30049000.00.
request_48,0.0,affordable_with_plan,installments,2026-08-24:0.00,2026-07-25,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $71300.00.
request_49,0.0,affordable_with_plan,installments,2024-04-03:0.00,2024-03-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $20275700.00.
request_50,0.0,not_affordable,full_payment,2025-08-06:43900.00,2025-08-06,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'full_payment' adhering to minimum balance constraint $99700.00.
request_51,0.0,affordable_with_plan,installments,2026-02-02:0.00,2026-01-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $7811000.00.
request_52,0.0,affordable_with_plan,installments,2024-07-05:0.00,2024-06-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $41500.00.
request_53,0.0,affordable_with_plan,installments,2025-12-07:0.00,2025-11-07,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $2100.00.
request_54,0.0,affordable_with_plan,installments,2026-08-03:0.00,2026-07-04,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $37000.00.
request_55,0.0,affordable_with_plan,installments,2026-07-08:0.00,2026-06-08,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $124300.00.
request_56,0.0,affordable_with_plan,installments,2025-03-05:0.00,2025-02-03,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $2100.00.
request_57,0.0,affordable_with_plan,installments,2026-05-05:0.00,2026-04-05,none,Evaluated 90-day forecast. Safe immediate payment: $0.00. Selected plan 'installments' adhering to minimum balance constraint $42700.00.
